"","NRMK4","NRMK5","NRMK6","NRMK10","NRMK11","NRMK12","NRPA4","NRPA5","NRPA6","NRPA10","NRPA11","NRPA12"
"ENSG00000223972",0,0,0,4,0,1,2,0,1,1,0,0
"ENSG00000227232",77,57,104,87,57,69,88,73,67,84,77,84
"ENSG00000278267",2,0,1,0,2,2,2,0,4,3,0,4
"ENSG00000243485",2,2,0,1,3,1,2,0,1,0,0,0
"ENSG00000274890",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",2,2,6,4,2,1,2,1,1,1,0,0
"ENSG00000239945",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750",1,1,0,1,1,0,1,1,1,0,1,3
"ENSG00000268903",4,4,1,6,10,12,9,2,3,3,7,14
"ENSG00000269981",3,4,0,5,4,8,6,2,0,2,9,9
"ENSG00000239906",0,0,0,0,0,0,0,0,0,1,1,0
"ENSG00000241860",2,2,9,11,8,8,5,8,6,7,11,7
"ENSG00000222623",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928",0,0,0,0,0,0,2,0,1,2,0,0
"ENSG00000279457",114,93,111,120,92,85,146,124,97,124,77,108
"ENSG00000273874",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000275135",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463",24,25,26,19,18,13,10,6,9,19,10,15
"ENSG00000241670",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679",0,0,0,1,3,1,0,1,0,1,1,0
"ENSG00000236743",0,0,1,0,0,0,0,2,1,0,0,1
"ENSG00000236601",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094",11,6,12,11,7,9,9,7,16,8,7,2
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278566",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224813",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653",0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000250575",7,3,2,11,5,6,8,3,7,8,5,10
"ENSG00000278757",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231709",0,1,0,1,0,1,0,1,1,0,0,2
"ENSG00000235146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239664",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021",0,3,0,0,1,1,1,1,4,0,1,0
"ENSG00000223659",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972",78,132,179,103,90,72,83,141,172,82,69,94
"ENSG00000225630",3576,4388,5294,4559,3226,3269,3619,3853,4557,3917,3634,3697
"ENSG00000276171",17,40,48,22,21,22,21,38,46,23,23,29
"ENSG00000237973",10667,13717,15534,9696,7335,7042,9471,11615,13904,7238,6258,6201
"ENSG00000278791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344",1236,303,270,2036,104,116,1313,222,197,1457,88,115
"ENSG00000240409",25,46,24,18,16,25,17,29,28,13,19,11
"ENSG00000248527",10148,9157,11939,12375,7860,8171,9999,8245,11998,9701,6965,8170
"ENSG00000198744",679,762,1131,939,455,564,722,790,1000,683,447,509
"ENSG00000268663",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273547",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376",0,1,0,1,1,2,2,2,0,0,1,0
"ENSG00000224956",18,11,4,9,10,19,13,10,12,23,14,12
"ENSG00000235373",2,1,1,0,4,1,3,1,2,0,5,3
"ENSG00000223181",1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240618",0,0,0,0,1,0,0,1,0,1,0,0
"ENSG00000229905",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327",6,5,6,14,4,7,6,5,9,10,3,8
"ENSG00000237491",7,2,4,8,5,13,6,3,2,4,6,9
"ENSG00000230092",7,7,10,8,10,5,6,9,6,3,4,3
"ENSG00000177757",2,0,0,2,1,3,0,1,1,0,2,0
"ENSG00000228794",244,211,257,177,186,153,181,212,160,195,217,179
"ENSG00000225880",1,1,1,3,2,8,1,2,1,4,4,4
"ENSG00000230368",2,1,1,2,0,1,0,0,0,0,1,0
"ENSG00000234711",0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000272438",1,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000230699",1,0,0,0,0,0,1,1,0,0,0,0
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764",6,6,23,5,11,15,6,16,10,7,18,8
"ENSG00000187634",2,5,5,7,19,5,3,15,3,4,15,8
"ENSG00000188976",2114,2121,2117,1769,1976,1845,2036,2081,1468,2076,2150,2257
"ENSG00000187961",49,61,69,78,123,113,74,75,67,74,95,86
"ENSG00000277294",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187583",205,236,370,303,287,302,180,161,213,248,275,279
"ENSG00000187642",63,59,106,81,80,85,56,32,46,81,82,82
"ENSG00000272512",23,21,12,56,41,35,17,17,11,26,33,21
"ENSG00000188290",180,306,253,298,304,267,306,233,210,267,301,328
"ENSG00000187608",58,76,96,98,84,107,109,94,82,109,99,119
"ENSG00000231702",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224969",1,0,0,0,2,0,0,0,1,2,0,0
"ENSG00000188157",9948,15425,15498,12423,13853,13184,12795,16490,14914,12796,12322,13157
"ENSG00000242590",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217801",13,17,25,34,45,42,31,23,17,41,57,55
"ENSG00000273443",1,2,2,3,2,3,1,1,2,4,8,5
"ENSG00000237330",58,62,94,77,119,110,65,49,53,67,125,124
"ENSG00000131591",131,170,194,201,220,201,239,226,174,248,211,246
"ENSG00000223823",0,0,1,0,2,1,0,0,0,0,0,1
"ENSG00000207730",0,0,1,5,4,3,4,1,1,1,1,3
